MUNICIPIO,departamento,SUPERFICIE SEMBRADA (Mz),SUPERFICIE COSECHADA PARA GRANO Y SEMILLA (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
SAN AGUSTIN,USULUTAN,101.62,101.62,1181,2137,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5879763908180,0.008946458475080,50
BERLIN,USULUTAN,1252.31,1249.20,16989,2011,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5123636906080,0.011867242551700,51
NUEVA GRANADA,USULUTAN,29.90,21.27,202,2115,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5087613950220,0.006871773421530,52
EL TRIUNFO,USULUTAN,64.80,64.80,693,2064,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4620825557560,0.003445279954320,53
SAN BUENA VENTURA,USULUTAN,31.38,31.38,441,2146,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3537807702940,0.002838084723800,54
SANTIAGO DE MARIA,USULUTAN,41.96,38.62,452,2217,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2391674897700,0.002589497748820,55
JUCUAPA,USULUTAN,425.75,419.89,4540,2086,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3309893428650,0.003866795366060,56
ALEGRIA,USULUTAN,406.38,398.98,5554,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3123976127500,0.003606238479790,57
SAN FRANCISCO LEMPA,CHALATENANGO,4.55,4.55,35,2158,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1092445992490,0.000580976565367,58
SAN ANTONIO DE LA CRUZ,CHALATENANGO,52.73,51.57,419,2140,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2881408784280,0.002659190129940,59
NOMBRE DE JESUS,CHALATENANGO,121.72,121.72,874,2112,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2962602874060,0.003601125176470,60
LAS FLORES,CHALATENANGO,50.23,45.85,265,2095,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2309951742740,0.002173508310760,61
ARCATAO,CHALATENANGO,258.23,256.02,2057,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3657399205800,0.002851981286340,62
COMALAPA,CHALATENANGO,1.05,1.05,17,2035,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2041767508290,0.002195835174070,63
LA LAGUNA,CHALATENANGO,275.04,273.69,2301,2090,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3188629354380,0.002025664463690,64
EL CARRIZAL,CHALATENANGO,155.24,148.19,1631,2052,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2233185220640,0.002308639855280,65
SUCHITOTO,CUSCATLAN,1389.49,1366.46,15074,2230,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8548507232560,0.025717995433900,66
TENANCINGO,CUSCATLAN,812.65,800.11,8633,2239,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4010494755650,0.004969825025360,67
SAN JOSE GUAYABAL,CUSCATLAN,860.65,856.94,10299,2169,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4189455390370,0.005752995275090,68
ORATORIO DE CONCEPCION,CUSCATLAN,333.38,322.34,3411,2122,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1725665002180,0.001198830979140,69
SAN BARTOLOME PERULAPIA,CUSCATLAN,141.02,141.02,1454,2145,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1998275270090,0.000995441412871,70
SAN PEDRO PERULAPAN,CUSCATLAN,1684.48,1666.07,17739,2191,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5678073659910,0.007451997645370,71
SANTA CRUZ MICHAPA,CUSCATLAN,372.80,365.61,3752,2207,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2382386314210,0.001887207900910,72
MONTE SAN JUAN,CUSCATLAN,468.10,464.36,4626,2108,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2188960594120,0.001779936551590,73
EL ROSARIO,CUSCATLAN,308.92,306.75,3021,2059,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1934323980150,0.001219690117850,74
SAN RAFAEL CEDROS,CUSCATLAN,467.43,462.58,4969,2194,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2129808413670,0.001711948481950,75
COJUTEPEQUE,CUSCATLAN,2498.78,2383.17,28548,2032,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4494990484790,0.002302754708740,76
EL CARMEN,CUSCATLAN,316.01,312.41,3057,2050,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2754226059100,0.001583933205890,77
SAN CRISTOBAL,CUSCATLAN,374.05,363.57,3972,2149,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1951915491860,0.001275288048260,78
CANDELARIA,CUSCATLAN,207.71,207.71,2143,2017,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2858797438870,0.002755497925200,79
SAN RAMON,CUSCATLAN,141.39,141.14,1806,2197,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1868774825530,0.000991000785216,80
SANTA CRUZ ANALQUITO,CUSCATLAN,170.57,162.45,1725,2206,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1393983811230,0.000902938193996,81
SAN LUIS TALPA,LA PAZ,104.99,104.68,1704,2181,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4217211301320,0.009005745424870,82
