MUNICIPIO,departamento,SUPERFICIE SEMBRADA,SUPERFICIE SEMBRADA CON SEMILLA MEJORADA,SUPERFICIE COSECHADA PARA GRANO Y SEMILLA,SUPERFICIE COSECHADA PARA FORRAJE VERDE (Mz),SUPERFICIE COSECHADA PARA ELOTE (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),PRODUCCIÓN PARA FORRAJE VERDE (TM),PRODUCCIÓN PARA ELOTE (CIENTOS),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
SAN BUENA VENTURA,USULUTAN,817.63,596.98,807.32,10.30,,25669,209,,2146,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3537807702940,0.002838084723800,54
SANTIAGO DE MARIA,USULUTAN,197.27,135.79,197.27,,,8671,,,2217,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2391674897700,0.002589497748820,55
JUCUAPA,USULUTAN,1509.59,1356.71,1481.99,7.39,9.29,61628,226,2300,2086,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3309893428650,0.003866795366060,56
ALEGRIA,USULUTAN,869.22,628.43,860.00,,1.47,32000,,368,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3123976127500,0.003606238479790,57
SAN FRANCISCO LEMPA,CHALATENANGO,94.42,85.83,93.90,,0.52,4254,,129,2158,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1092445992490,0.000580976565367,58
SAN ANTONIO DE LA CRUZ,CHALATENANGO,249.56,191.57,249.56,,,8532,,,2140,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2881408784280,0.002659190129940,59
NOMBRE DE JESUS,CHALATENANGO,401.96,339.87,399.39,,,12268,,,2112,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2962602874060,0.003601125176470,60
LAS FLORES,CHALATENANGO,215.63,172.10,215.63,,,6854,,,2095,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2309951742740,0.002173508310760,61
ARCATAO,CHALATENANGO,412.08,264.01,412.08,,,11940,,,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3657399205800,0.002851981286340,62
COMACARAN,CHALATENANGO,588.50,270.86,541.35,35.84,,17305,1109,,2035,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2041767508290,0.002195835174070,63
LA LAGUNA,CHALATENANGO,336.23,241.04,331.34,,1.14,9225,,429,2090,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3188629354380,0.002025664463690,64
EL CARRIZAL,CHALATENANGO,233.21,177.57,230.51,,,8447,,,2052,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2233185220640,0.002308639855280,65
SUCHITOTO,CUSCATLAN,4744.93,4616.89,4568.82,19.27,121.54,231007,577,27025,2230,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8548507232560,0.025717995433900,66
TENANCINGO,CUSCATLAN,1137.21,1023.15,1134.65,,1.66,53790,,508,2239,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4010494755650,0.004969825025360,67
SAN JOSE GUAYABAL,CUSCATLAN,1289.61,1240.70,1286.55,2.57,0.50,60292,77,119,2169,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4189455390370,0.005752995275090,68
ORATORIO DE CONCEPCION,CUSCATLAN,457.30,444.30,455.79,1.39,0.13,19934,50,32,2122,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1725665002180,0.001198830979140,69
SAN BARTOLOME PERULAPIA,CUSCATLAN,249.88,243.45,249.88,,,9829,,,2145,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1998275270090,0.000995441412871,70
SAN PEDRO PERULAPAN,CUSCATLAN,2601.85,2439.94,2585.85,,5.76,104154,,1818,2191,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5678073659910,0.007451997645370,71
SANTA CRUZ MICHAPA,CUSCATLAN,584.25,518.98,575.17,5.09,0.51,21929,127,90,2207,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2382386314210,0.001887207900910,72
MONTE SAN JUAN,CUSCATLAN,848.07,819.53,846.53,,1.55,30675,,263,2108,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2188960594120,0.001779936551590,73
EL ROSARIO,CUSCATLAN,416.12,405.24,416.12,,,17833,,,2059,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1934323980150,0.001219690117850,74
SAN RAFAEL CEDROS,CUSCATLAN,777.05,688.43,767.03,2.50,1.90,32779,78,498,2194,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2129808413670,0.001711948481950,75
COATEPEQUE,CUSCATLAN,3057.28,2932.24,3031.58,,4.00,122341,,960,2032,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4494990484790,0.002302754708740,76
EL CARMEN,CUSCATLAN,554.37,507.79,552.81,,0.25,19802,,30,2050,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2754226059100,0.001583933205890,77
SAN CRISTOBAL,CUSCATLAN,633.28,554.82,629.74,,2.90,23628,,554,2149,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1951915491860,0.001275288048260,78
CANDELARIA,CUSCATLAN,500.09,469.30,497.20,,0.85,20676,,226,2017,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2858797438870,0.002755497925200,79
SAN RAMON,CUSCATLAN,243.91,209.40,240.49,,1.78,9972,,506,2197,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1868774825530,0.000991000785216,80
SANTA CRUZ ANALQUITO,CUSCATLAN,279.86,241.43,279.61,,0.25,10336,,60,2206,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1393983811230,0.000902938193996,81
SAN LUIS TALPA,LA PAZ,2062.09,1977.08,2030.42,15.61,17.60,108634,468,6303,2181,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4217211301320,0.009005745424870,82
OLOCUILTA,LA PAZ,1082.06,1042.95,1068.85,13.20,,62223,353,,2121,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4761749817690,0.005831889743100,83
SAN JUAN TALPA,LA PAZ,239.14,229.94,237.80,,0.16,11408,,32,2173,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1548606917240,0.000981024510155,84
EL ROSARIO,LA PAZ,1224.08,1138.91,1154.94,53.99,8.16,60289,1435,2776,2060,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4315506108130,0.004502658420210,85
SAN ANTONIO MASAHUAT,LA PAZ,496.88,495.37,496.88,,,26382,,,2143,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2559215697950,0.002608821392100,86
TAPALHUACA,LA PAZ,449.10,430.03,446.31,,,22675,,,2234,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2615705119610,0.002351180095080,87
CUSCATANCINGO,LA PAZ,43.58,43.58,43.58,,,1697,,,2045,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1785770421010,0.001093706330010,88
SAN FRANCISCO CHINAMECA,LA PAZ,328.71,279.90,328.31,,0.40,16892,,122,2155,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3661922061150,0.004118631232710,89
SAN JUAN TEPEZONTES,LA PAZ,429.51,391.54,429.51,,,23109,,,2174,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1910671750170,0.001786297630600,90
SANTIAGO NONUALCO,LA PAZ,2551.00,2215.14,2502.05,20.46,11.90,117991,375,4110,2218,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8598914090840,0.012135100608900,91
SAN PEDRO MASAHUAT,LA PAZ,1754.16,1628.64,1697.11,49.16,7.89,89217,1235,2211,2189,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7261882613220,0.008140573077260,92
SAN JUAN NONUALCO,LA PAZ,1342.32,1181.70,1305.76,27.52,9.03,65674,1050,1817,2171,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6495053770930,0.005468513291860,93
